ten	tac_gia	license	dinh_dang	trang	cach_lay
backpack	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/backpack.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/backpack.svg
backward-time	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/backward-time.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/backward-time.svg
bacon	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bacon.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bacon.svg
bad-breath	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bad-breath.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bad-breath.svg
bagpipes	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bagpipes.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bagpipes.svg
ball-pyramid	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ball-pyramid.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ball-pyramid.svg
ballerina-shoes	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ballerina-shoes.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ballerina-shoes.svg
balloon-dog	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/balloon-dog.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/balloon-dog.svg
bamboo-fountain	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bamboo-fountain.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bamboo-fountain.svg
bamboo	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bamboo.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bamboo.svg
banana-bunch	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/banana-bunch.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/banana-bunch.svg
banana-peel	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/banana-peel.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/banana-peel.svg
banana-peeled	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/banana-peeled.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/banana-peeled.svg
banana	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/banana.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/banana.svg
bandana	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bandana.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bandana.svg
bandit	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bandit.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bandit.svg
banging-gavel	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/banging-gavel.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/banging-gavel.svg
banjo	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/banjo.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/banjo.svg
bank	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bank.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bank.svg
banknote	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/banknote.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/banknote.svg
baobab	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/baobab.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/baobab.svg
bar-stool	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/bar-stool.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/bar-stool.svg
barbarian	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/barbarian.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/barbarian.svg
barbecue	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/barbecue.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/barbecue.svg
